acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
SLDWGSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLDWGGG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SLDWDSQ,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1
SLDALSA,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
SLDAGYQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLDAHHW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLDSAGG,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
SLDSPLG,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
SLDSHAQ,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
SLDSYYG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDPQLY,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1
SLDPWHS,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDPASW,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
SLDPASW,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
SLDPSWP,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
SLDPLAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLDPLPG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLDPLHD,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
SLDPGSH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDPHWQ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SLDPHAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLDLASY,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
SLDLGSP,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0
SLDLGDW,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
SLDLYAP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLDLYHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLDGQGW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
