AIRPORT_ID	AIRPORT_NAME	AIRPORT_CITY	AIRPORT_STATE	AIRPORT_COUNTRY	ICAO	LCHG_DATE	RECORD_STATUS	Record_End
KMY 	MOSER BAY                                         	MOSER BAY             	AK	  	 	06/02/1989	A	 
KN2 	SMEATON SASK,SECONDARY AERODROME                  	SMEATON SASK          	  	CA	 	04/19/1990	A	 
KN3 	ONANOLE                                           	CLEAR LAKE MAN        	  	CA	 	04/19/1990	A	 
KN5 	FILLMORE SASK,SECONDARY AERODROME                 	FILLMORE SASK         	  	CA	 	04/19/1990	A	 
KN6 	WAWEIG LAKE ONT,WATER AERODROME                   	WAWEIG LAKE ONT       	  	CA	 	04/19/1990	A	 
KNB 	KANAB MUNI                                        	KANAB                 	UT	  	 	06/02/1989	A	 
KNF 	MARHAN RAF STATION                                	KING'S LYNN           	  	UK	 	09/26/2002	I	 
KNW 	NEW STUYAHOK                                      	NEW STUYAHOK          	AK	  	 	06/02/1989	A	 
KOA 	KONA INTL AT KEAHOLE                              	KAILUA/KONA           	HI	  	 	06/11/2002	A	 
KOJ 	AIRPORT                                           	KAGOSHIMA             	  	JA	N	09/26/2002	I	 
KOT 	KOTLIK                                            	KOTLIK                	AK	  	N	03/08/2001	I	 
KOY 	OLGA BAY                                          	OLGA BAY              	AK	  	 	06/02/1989	A	 
KP2 	NORTH                                             	SPRING VALLEY SASK    	  	CA	 	04/19/1990	A	 
KP3 	PISTOL LAKE                                       	MINAKI ONT            	  	CA	 	04/19/1990	A	 
KP4 	PUKATAWAGAN MAN,WATER AERODROME                   	PUKATAWAGAN MAN       	  	CA	 	04/19/1990	A	 
KP5 	SOUTHEND SASK,WATER AERODROME                     	SOUTHEND SASK         	  	CA	 	04/19/1990	A	 
KP6 	WEAGAMOW LAKE                                     	ROUND LAKE ONT        	  	CA	 	04/19/1990	A	 
KP7 	EVERGREEN ACRES                                   	TURTLE LAKE SASK      	  	CA	 	04/19/1990	A	 
KPB 	POINT BAKER                                       	POINT BAKER           	AK	  	 	06/02/1989	A	 
KPC 	PORT CLARENCE CGS                                 	PORT CLARENCE         	AK	  	 	06/02/1989	A	 
KPH 	PAULOFF HARBOR                                    	PAULOFF HARBOR /SANAK 	AK	  	 	09/26/2008	I	 
KPO 	AIRPORT                                           	POHANG                	  	KS	N	09/26/2002	I	 
KPR 	PORT WILLIAMS                                     	PORT WILLIAMS         	AK	  	 	06/02/1989	A	 
KPVG	PU DONG                                           	SHANGHAI              	  	CH	Y	05/01/2008	A	 
KPY 	PORT BAILEY                                       	PORT BAILEY           	AK	  	 	06/02/1989	A	 
KQ2 	SQUAW RAPIDS SASK,SECONDARY AERODROME             	SQUAW RAPIDS SASK     	  	CA	 	04/19/1990	A	 
KQ4 	RAINY RIVER ONT,WATER AERODROME                   	RAINY RIVER ONT       	  	CA	 	04/19/1990	A	 
KQ6 	ERICKSON MUNI MAN,SECONDARY AERODROME             	ERICKSON MUNI MAN     	  	CA	 	04/19/1990	A	 
KQ7 	VERMILION BAY ONT,SECONDARY AERODROME             	VERMILION BAY ONT     	  	CA	 	04/19/1990	A	 
KQA 	AKUTAN                                            	AKUTAN                	AK	  	 	06/02/1989	A	 
KR2 	STORTHOAKS SASK,SECONDARY AERODROME               	STORTHOAKS SASK       	  	CA	 	04/19/1990	A	 
KR4 	LUNDAR MAN,SECONDARY AERODROME                    	LUNDAR MAN            	  	CA	 	04/19/1990	A	 
KR7 	GABRIELLE FARM                                    	VIRDEN MAN            	  	CA	 	04/19/1990	A	 
KS01	HOXIE-SHERIDAN COUNTY                             	HOXIE                 	KS	  	N	12/02/1999	I	 
KS02	WRIGHT INTL                                       	KANORADO              	KS	  	N	12/02/1999	I	 
KS03	LENORA MUNI                                       	LENORA                	KS	  	N	12/02/1999	I	 
KS04	PLAINVILLE ARPK                                   	PLAINVILLE            	KS	  	N	12/02/1999	I	 
